Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,TotalGoals,prob_H_norm,prob_D_norm,prob_A_norm
2020-11-21,2020-21,Sevilla,Celta,4,2,H,15,10,10,7,3,2,2,2,0,0,1.72,3.6,5.25,6,0.5538948478987163,0.26463864955160893,0.18146650254967467
2020-11-21,2020-21,Ath Madrid,Barcelona,1,0,H,9,13,2,4,8,8,4,0,0,0,2.9,3.5,2.37,1,0.32763251441662067,0.2714669405166285,0.40090054506675094
2020-11-21,2020-21,Villarreal,Real Madrid,1,1,D,13,6,1,1,4,2,1,2,0,0,2.87,3.8,2.25,2,0.32994385166033147,0.24919443533293456,0.420861713006734
2020-11-21,2020-21,Levante,Elche,1,1,D,13,11,5,5,5,4,1,4,0,0,1.57,4.0,5.75,2,0.600404620505123,0.2356588135482608,0.1639365659466162
2020-11-22,2020-21,Eibar,Getafe,0,0,D,15,8,5,3,3,4,3,4,1,0,3.4,3.0,2.35,0,0.2793185419968304,0.3165610142630745,0.4041204437400951
2020-11-22,2020-21,Cadiz,Sociedad,0,1,A,2,14,0,4,1,6,2,1,0,0,4.0,3.8,1.85,1,0.23725953425582186,0.249746878164023,0.5129935875801553
2020-11-22,2020-21,Granada,Valladolid,1,3,A,16,9,6,3,5,3,4,3,0,0,2.1,3.2,3.8,4,0.4527177959791511,0.29709605361131797,0.2501861504095309
2020-11-22,2020-21,Alaves,Valencia,2,2,D,13,13,3,5,4,5,1,1,0,0,2.7,3.2,2.8,4,0.35612082670906203,0.3004769475357711,0.34340222575516693
2020-11-23,2020-21,Ath Bilbao,Betis,4,0,H,14,7,9,1,6,3,0,0,0,0,2.2,3.3,3.4,4,0.43220338983050843,0.288135593220339,0.2796610169491525
2020-11-27,2020-21,Valladolid,Levante,1,1,D,10,10,4,3,3,11,0,3,0,0,2.55,3.3,2.8,2,0.37265577737447064,0.2879612825166364,0.33938294010889286
2020-11-28,2020-21,Elche,Cadiz,1,1,D,4,7,3,2,1,9,6,2,1,0,3.2,3.0,2.45,2,0.2964905203711174,0.3162565550625252,0.3872529245663574
2020-11-28,2020-21,Valencia,Ath Madrid,0,1,A,5,14,2,6,2,7,2,5,0,0,4.75,3.8,1.72,1,0.19953596287703013,0.24941995359628769,0.5510440835266821
2020-11-28,2020-21,Huesca,Sevilla,0,1,A,5,16,1,4,1,10,4,3,0,0,4.0,3.3,2.0,1,0.23741007194244607,0.2877697841726619,0.47482014388489213
2020-11-28,2020-21,Real Madrid,Alaves,1,2,A,20,11,9,6,12,9,2,3,0,0,1.33,5.25,9.0,3,0.7137192704203014,0.18080888183980967,0.10547184773988898
