Date,Season,League,HomeTeam,AwayTeam,FTHG,FTAG,FTR,diff_avg_points,diff_avg_goals_scored,diff_avg_goals_conceded,diff_table_position,diff_days_rest,home_attack_vs_away_defense,away_attack_vs_home_defense,home_avg_goals_scored,home_avg_goals_conceded,home_win_rate,home_clean_sheet_rate,home_table_position,away_avg_goals_scored,away_avg_goals_conceded,away_win_rate,away_clean_sheet_rate,away_table_position,home_matchday,league_Bundesliga,league_La Liga,league_Ligue 1,league_Premier League,league_Serie A,B365H,B365D,B365A
2023-05-06,2022-23,Bundesliga,Augsburg,Union Berlin,1,0,H,-1.0,0.19999999999999996,1.4,10.0,0.0,0.7999999999999999,-0.8,1.4,2.0,0.0,0.0,13.0,1.2,0.6,0.4,0.6,3.0,31,True,False,False,False,False,3.4,3.25,2.2
2023-05-21,2022-23,Bundesliga,Augsburg,Dortmund,0,3,A,-1.2000000000000002,-2.4,0.40000000000000013,12.0,0.0,0.19999999999999996,2.1999999999999997,1.4,1.6,0.2,0.2,14.0,3.8,1.2,0.6,0.4,2.0,33,True,False,False,False,False,7.0,5.5,1.36
2023-08-19,2023-24,Bundesliga,Augsburg,M'gladbach,4,4,D,-0.5999999999999999,-1.0,0.0,-8.0,0.0,-1.0,0.0,0.8,1.8,0.2,0.2,2.0,1.8,1.8,0.4,0.4,10.0,1,True,False,False,False,False,2.7,3.6,2.45
2023-09-02,2023-24,Bundesliga,Augsburg,Bochum,2,2,D,-1.4000000000000001,-0.20000000000000018,1.2,-4.0,-1.0,-0.40000000000000013,-1.4,1.4,3.0,0.0,0.0,11.0,1.6,1.8,0.4,0.2,15.0,3,True,False,False,False,False,2.0,3.75,3.75
2023-09-23,2023-24,Bundesliga,Augsburg,Mainz,2,1,H,0.0,0.3999999999999999,0.0,-2.0,0.0,-1.4,-1.7999999999999998,1.4,2.8,0.0,0.0,15.0,1.0,2.8,0.0,0.0,17.0,5,True,False,False,False,False,2.55,3.5,2.63
2023-10-07,2023-24,Bundesliga,Augsburg,Darmstadt,1,2,A,0.0,-1.0,-1.1999999999999997,-1.0,0.0,-2.4,-0.20000000000000018,1.0,2.2,0.2,0.0,14.0,2.0,3.4,0.2,0.0,15.0,7,True,False,False,False,False,1.85,3.75,4.0
2023-10-28,2023-24,Bundesliga,Augsburg,Wolfsburg,3,2,H,0.0,0.40000000000000013,0.6000000000000001,1.0,-1.0,0.20000000000000018,-0.8,1.6,2.0,0.4,0.0,10.0,1.2,1.4,0.4,0.2,9.0,9,True,False,False,False,False,2.9,3.5,2.38
2023-11-11,2023-24,Bundesliga,Augsburg,Hoffenheim,1,1,D,0.19999999999999996,0.0,-0.8,5.0,0.0,-0.6000000000000001,0.19999999999999996,2.0,1.8,0.4,0.0,11.0,2.0,2.6,0.4,0.0,6.0,11,True,False,False,False,False,2.63,3.6,2.55
2023-12-03,2023-24,Bundesliga,Augsburg,Ein Frankfurt,2,1,H,0.19999999999999996,-0.19999999999999973,-0.20000000000000018,4.0,0.0,0.6000000000000001,1.0,2.2,1.4,0.4,0.0,11.0,2.4,1.6,0.4,0.2,7.0,13,True,False,False,False,False,2.63,3.6,2.55
2023-12-16,2023-24,Bundesliga,Augsburg,Dortmund,1,1,D,0.3999999999999999,-0.6000000000000001,-1.2,5.0,0.0,-1.4,0.40000000000000013,1.0,1.2,0.2,0.0,10.0,1.6,2.4,0.2,0.0,5.0,15,True,False,False,False,False,3.5,4.2,1.91
